Pending Making - 19,Pending in QC - 478,Accepted in QC - 511 / 1000,Making Completed - 981,,Total - 13/09/2025,Today QC - 0,Total QC - 612,Reject Reason,Rework date,Comment,,Report = Batch 3 - 1000,,,Not Started,377
jid_acb166,my_ref_jid_acb166,my_client_jid_abc166,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb167,my_ref_jid_acb167,my_client_jid_abc167,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb168,my_ref_jid_acb168,my_client_jid_abc168,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb169,my_ref_jid_acb169,my_client_jid_abc169,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb170,my_ref_jid_acb170,my_client_jid_abc170,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb171,my_ref_jid_acb171,my_client_jid_abc171,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb172,my_ref_jid_acb172,my_client_jid_abc172,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb173,my_ref_jid_acb173,my_client_jid_abc173,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,Already asked in 2nd batch about #,,,,,,
jid_acb174,my_ref_jid_acb174,my_client_jid_abc174,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb175,my_ref_jid_acb175,my_client_jid_abc175,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,need to ask about C2H4,,,,,,
jid_acb176,my_ref_jid_acb176,my_client_jid_abc176,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb177,my_ref_jid_acb177,my_client_jid_abc177,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,can plance bond in beterrn two ch2,,,,,,
jid_acb178,my_ref_jid_acb178,my_client_jid_abc178,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
